id,time,id_estacion,temperature,humidity,wind,solar_radiation
1,1704078000,1,22.94,63.29,13.56,70.75
2,1704164400,1,20.73,80.52,18.59,56.22
3,1704250800,1,23.14,66.76,13.0,58.68
4,1704337200,1,24.74,82.62,13.51,65.7
5,1704423600,1,22.19,68.56,16.38,83.33
6,1704510000,1,20.09,59.45,15.71,58.82
7,1704596400,1,21.77,59.79,12.76,66.28
8,1704682800,1,18.56,61.39,16.61,89.05
9,1704769200,1,21.42,69.8,14.23,86.58
10,1704855600,1,19.91,76.69,13.69,72.25
11,1704942000,1,17.77,67.8,14.87,82.2
12,1705028400,1,21.74,62.36,13.63,55.95
13,1705114800,1,25.91,83.27,17.45,79.86
14,1705201200,1,21.35,85.6,11.18,58.74
15,1705287600,1,23.6,74.42,13.5,59.79
16,1705374000,1,23.64,85.59,17.51,70.88
17,1705460400,1,27.92,69.52,11.25,62.39
18,1705546800,1,26.42,85.76,15.06,48.79
19,1705633200,1,26.2,62.53,14.07,99.14
20,1705719600,1,26.64,62.07,14.11,61.66
21,1705806000,1,22.62,67.86,15.88,76.98
22,1705892400,1,29.79,77.63,14.64,77.92
23,1705978800,1,25.21,69.89,12.3,58.52
24,1706065200,1,19.37,65.62,15.16,66.28
25,1706151600,1,22.25,62.78,14.92,80.81
26,1706238000,1,19.97,44.0,13.95,52.03
27,1706324400,1,22.46,58.49,16.04,79.18
28,1706410800,1,21.6,53.3,16.26,77.62
29,1706497200,1,18.93,66.51,19.02,74.22
30,1706583600,1,24.15,66.4,15.08,72.18
31,1706670000,1,24.72,63.54,13.09,44.12
32,1706756400,1,25.11,80.0,15.66,70.7
33,1706842800,1,24.78,74.12,12.03,76.37
34,1706929200,1,20.01,69.34,11.32,44.95
35,1707015600,1,29.62,75.67,18.11,82.23
36,1707102000,1,22.13,71.98,15.68,78.15
37,1707188400,1,22.39,65.52,11.58,91.91
38,1707274800,1,24.93,75.36,19.48,67.39
39,1707361200,1,19.42,42.89,15.36,65.41
40,1707447600,1,27.09,57.61,15.23,58.51
41,1707534000,1,19.55,71.24,14.65,58.95
42,1707620400,1,23.31,59.3,15.89,65.09
43,1707706800,1,23.27,65.42,12.8,68.69
44,1707793200,1,20.41,74.29,14.77,69.82
45,1707879600,1,21.46,59.74,13.95,72.85
46,1707966000,1,23.93,45.9,18.5,84.13
47,1708052400,1,23.95,62.49,14.08,62.07
48,1708138800,1,17.29,55.74,15.83,81.93
49,1708225200,1,20.45,60.76,16.74,52.55
50,1708311600,1,21.41,71.28,17.67,68.73
