id;time;id_station;latitud;longitud;temperature;humidity;wind_speed;solar_radiation
1;2024-01-01 03:00:00;1;-27.2;-55.78;27.0;45.0;17.0;1550.0
2;2024-01-01 03:00:00;2;-26.87;-58.32;30.0;94.0;24.0;1540.0
3;2024-01-01 03:00:00;3;-26.83;-55.32;28.0;69.0;22.0;1596.0
4;2024-01-01 03:00:00;4;-26.67;-57.13;35.0;32.0;7.0;1697.0
5;2024-01-01 03:00:00;5;-26.17;-56.35;33.0;93.0;6.0;1649.0
6;2024-01-01 03:00:00;6;-25.75;-56.43;34.0;58.0;11.0;1779.0
7;2024-01-01 03:00:00;7;-25.62;-57.13;27.0;94.0;12.0;1682.0
8;2024-01-01 03:00:00;8;-25.5;-56.4;35.0;62.0;9.0;1771.0
9;2024-01-01 03:00:00;9;-25.45;-54.83;32.0;27.0;18.0;1522.0
10;2024-01-02 03:00:00;0;-27.22;-55.83;18.0;85.0;6.0;1722.0
11;2024-01-02 03:00:00;1;-27.2;-55.78;13.0;93.0;17.0;1791.0
12;2024-01-02 03:00:00;2;-26.87;-58.32;17.0;82.0;10.0;1583.0
13;2024-01-02 03:00:00;3;-26.83;-55.32;18.0;61.0;25.0;1626.0
14;2024-01-02 03:00:00;4;-26.67;-57.13;9.0;88.0;18.0;1776.0
15;2024-01-02 03:00:00;5;-26.17;-56.35;9.0;64.0;12.0;1523.0
16;2024-01-02 03:00:00;6;-25.75;-56.43;14.0;28.0;30.0;1737.0
17;2024-01-02 03:00:00;7;-25.62;-57.13;11.0;36.0;15.0;1597.0
18;2024-01-02 03:00:00;8;-25.5;-56.4;13.0;35.0;26.0;1680.0
19;2024-01-02 03:00:00;9;-25.45;-54.83;11.0;93.0;24.0;1761.0
20;2024-01-03 03:00:00;0;-27.22;-55.83;21.0;75.0;23.0;1553.0
21;2024-01-03 03:00:00;1;-27.2;-55.78;26.0;94.0;6.0;1508.0
22;2024-01-03 03:00:00;2;-26.87;-58.32;21.0;87.0;31.0;1563.0
23;2024-01-03 03:00:00;3;-26.83;-55.32;20.0;61.0;21.0;1682.0
24;2024-01-03 03:00:00;4;-26.67;-57.13;26.0;93.0;30.0;1764.0
25;2024-01-03 03:00:00;5;-26.17;-56.35;21.0;47.0;25.0;1536.0
26;2024-01-03 03:00:00;6;-25.75;-56.43;20.0;68.0;30.0;1796.0
27;2024-01-03 03:00:00;7;-25.62;-57.13;19.0;100.0;29.0;1607.0
28;2024-01-03 03:00:00;8;-25.5;-56.4;23.0;38.0;10.0;1581.0
29;2024-01-03 03:00:00;9;-25.45;-54.83;19.0;84.0;32.0;1554.0
30;2024-01-04 03:00:00;0;-27.22;-55.83;27.0;63.0;11.0;1531.0
31;2024-01-04 03:00:00;1;-27.2;-55.78;27.0;86.0;27.0;1795.0
32;2024-01-04 03:00:00;2;-26.87;-58.32;23.0;59.0;25.0;1511.0
33;2024-01-04 03:00:00;3;-26.83;-55.32;17.0;91.0;23.0;1793.0
34;2024-01-04 03:00:00;4;-26.67;-57.13;18.0;64.0;18.0;1778.0
35;2024-01-04 03:00:00;5;-26.17;-56.35;21.0;60.0;26.0;1629.0
36;2024-01-04 03:00:00;6;-25.75;-56.43;27.0;37.0;28.0;1548.0
37;2024-01-04 03:00:00;7;-25.62;-57.13;21.0;71.0;28.0;1629.0
38;2024-01-04 03:00:00;8;-25.5;-56.4;25.0;55.0;30.0;1667.0
39;2024-01-04 03:00:00;9;-25.45;-54.83;21.0;84.0;18.0;1597.0
40;2024-01-05 03:00:00;0;-27.22;-55.83;28.0;82.0;22.0;1642.0
41;2024-01-05 03:00:00;1;-27.2;-55.78;25.0;87.0;18.0;1579.0
42;2024-01-05 03:00:00;2;-26.87;-58.32;30.0;84.0;32.0;1587.0
43;2024-01-05 03:00:00;3;-26.83;-55.32;22.0;66.0;6.0;1719.0
44;2024-01-05 03:00:00;4;-26.67;-57.13;23.0;92.0;32.0;1631.0
45;2024-01-05 03:00:00;5;-26.17;-56.35;28.0;57.0;32.0;1575.0
46;2024-01-05 03:00:00;6;-25.75;-56.43;23.0;57.0;6.0;1581.0
47;2024-01-05 03:00:00;7;-25.62;-57.13;20.0;49.0;8.0;1725.0
48;2024-01-05 03:00:00;8;-25.5;-56.4;21.0;45.0;16.0;1729.0
49;2024-01-05 03:00:00;9;-25.45;-54.83;22.0;80.0;12.0;1758.0
50;2024-01-06 03:00:00;0;-27.22;-55.83;30.0;40.0;23.0;1672.0
51;2024-01-06 03:00:00;1;-27.2;-55.78;30.0;29.0;12.0;1728.0
52;2024-01-06 03:00:00;2;-26.87;-58.32;30.0;31.0;23.0;1790.0
53;2024-01-06 03:00:00;3;-26.83;-55.32;34.0;63.0;24.0;1747.0
54;2024-01-06 03:00:00;4;-26.67;-57.13;37.0;92.0;18.0;1710.0
55;2024-01-06 03:00:00;5;-26.17;-56.35;32.0;27.0;32.0;1629.0
56;2024-01-06 03:00:00;6;-25.75;-56.43;35.0;86.0;30.0;1561.0
57;2024-01-06 03:00:00;7;-25.62;-57.13;37.0;53.0;23.0;1520.0
58;2024-01-06 03:00:00;8;-25.5;-56.4;30.0;45.0;22.0;1545.0
59;2024-01-06 03:00:00;9;-25.45;-54.83;29.0;49.0;28.0;1645.0
60;2024-01-07 03:00:00;0;-27.22;-55.83;18.0;27.0;7.0;1757.0
61;2024-01-07 03:00:00;1;-27.2;-55.78;16.0;87.0;14.0;1677.0
62;2024-01-07 03:00:00;2;-26.87;-58.32;13.0;98.0;15.0;1733.0
63;2024-01-07 03:00:00;3;-26.83;-55.32;13.0;78.0;24.0;1525.0
64;2024-01-07 03:00:00;4;-26.67;-57.13;22.0;94.0;21.0;1576.0
65;2024-01-07 03:00:00;5;-26.17;-56.35;15.0;94.0;22.0;1797.0
66;2024-01-07 03:00:00;6;-25.75;-56.43;16.0;96.0;6.0;1611.0
67;2024-01-07 03:00:00;7;-25.62;-57.13;20.0;68.0;30.0;1664.0
68;2024-01-07 03:00:00;8;-25.5;-56.4;14.0;94.0;7.0;1570.0
69;2024-01-07 03:00:00;9;-25.45;-54.83;16.0;30.0;12.0;1582.0
70;2024-01-08 03:00:00;0;-27.22;-55.83;40.0;68.0;23.0;1648.0
71;2024-01-08 03:00:00;1;-27.2;-55.78;43.0;73.0;8.0;1506.0
72;2024-01-08 03:00:00;2;-26.87;-58.32;36.0;44.0;29.0;1546.0
73;2024-01-08 03:00:00;3;-26.83;-55.32;36.0;55.0;22.0;1764.0
74;2024-01-08 03:00:00;4;-26.67;-57.13;36.0;64.0;21.0;1673.0
75;2024-01-08 03:00:00;5;-26.17;-56.35;39.0;99.0;24.0;1719.0
76;2024-01-08 03:00:00;6;-25.75;-56.43;45.0;44.0;8.0;1572.0
77;2024-01-08 03:00:00;7;-25.62;-57.13;40.0;32.0;27.0;1717.0
78;2024-01-08 03:00:00;8;-25.5;-56.4;41.0;27.0;26.0;1617.0
79;2024-01-08 03:00:00;9;-25.45;-54.83;44.0;64.0;23.0;1576.0
80;2024-01-09 03:00:00;0;-27.22;-55.83;20.0;100.0;16.0;1725.0
81;2024-01-09 03:00:00;1;-27.2;-55.78;20.0;78.0;26.0;1596.0
82;2024-01-09 03:00:00;2;-26.87;-58.32;25.0;78.0;20.0;1519.0
83;2024-01-09 03:00:00;3;-26.83;-55.32;21.0;32.0;29.0;1514.0
84;2024-01-09 03:00:00;4;-26.67;-57.13;21.0;84.0;26.0;1637.0
85;2024-01-09 03:00:00;5;-26.17;-56.35;27.0;53.0;29.0;1654.0
86;2024-01-09 03:00:00;6;-25.75;-56.43;18.0;75.0;26.0;1763.0
87;2024-01-09 03:00:00;7;-25.62;-57.13;23.0;46.0;10.0;1765.0
88;2024-01-09 03:00:00;8;-25.5;-56.4;21.0;72.0;23.0;1588.0
89;2024-01-09 03:00:00;9;-25.45;-54.83;26.0;97.0;14.0;1709.0
90;2024-01-10 03:00:00;0;-27.22;-55.83;10.0;65.0;13.0;1656.0
91;2024-01-10 03:00:00;1;-27.2;-55.78;10.0;51.0;7.0;1548.0
92;2024-01-10 03:00:00;2;-26.87;-58.32;18.0;78.0;13.0;1773.0
93;2024-01-10 03:00:00;3;-26.83;-55.32;9.0;47.0;21.0;1618.0
94;2024-01-10 03:00:00;4;-26.67;-57.13;14.0;46.0;28.0;1774.0
95;2024-01-10 03:00:00;5;-26.17;-56.35;12.0;35.0;22.0;1756.0
96;2024-01-10 03:00:00;6;-25.75;-56.43;12.0;45.0;8.0;1639.0
97;2024-01-10 03:00:00;7;-25.62;-57.13;9.0;93.0;7.0;1632.0
98;2024-01-10 03:00:00;8;-25.5;-56.4;11.0;62.0;7.0;1697.0
99;2024-01-10 03:00:00;9;-25.45;-54.83;10.0;91.0;17.0;1522.0
100;2024-01-11 03:00:00;0;-27.22;-55.83;27.0;86.0;24.0;1669.0
101;2024-01-11 03:00:00;1;-27.2;-55.78;37.0;45.0;23.0;1537.0
102;2024-01-11 03:00:00;2;-26.87;-58.32;27.0;28.0;30.0;1521.0
103;2024-01-11 03:00:00;3;-26.83;-55.32;35.0;27.0;18.0;1721.0
104;2024-01-11 03:00:00;4;-26.67;-57.13;32.0;48.0;12.0;1676.0
105;2024-01-11 03:00:00;5;-26.17;-56.35;37.0;47.0;29.0;1753.0
106;2024-01-11 03:00:00;6;-25.75;-56.43;36.0;90.0;18.0;1522.0
107;2024-01-11 03:00:00;7;-25.62;-57.13;35.0;27.0;29.0;1634.0
108;2024-01-11 03:00:00;8;-25.5;-56.4;37.0;36.0;18.0;1690.0
109;2024-01-11 03:00:00;9;-25.45;-54.83;37.0;74.0;11.0;1562.0
110;2024-01-12 03:00:00;0;-27.22;-55.83;18.0;46.0;22.0;1637.0
111;2024-01-12 03:00:00;1;-27.2;-55.78;24.0;34.0;13.0;1749.0
112;2024-01-12 03:00:00;2;-26.87;-58.32;20.0;86.0;29.0;1777.0
