id;time;id_station;latitud;longitud;temperature;humidity;wind_speed;solar_radiation
1;1704078000;0;-27.22;-55.83;35.0;57.0;27.0;69.0
2;1704078000;1;-27.2;-55.78;33.0;73.0;16.0;88.0
3;1704078000;2;-26.87;-58.32;37.0;92.0;13.0;52.0
4;1704078000;3;-26.83;-55.32;35.0;62.0;27.0;35.0
5;1704078000;4;-26.67;-57.13;31.0;58.0;28.0;34.0
6;1704078000;5;-26.17;-56.35;35.0;80.0;30.0;87.0
7;1704078000;6;-25.75;-56.43;29.0;57.0;28.0;99.0
8;1704078000;7;-25.62;-57.13;31.0;65.0;27.0;42.0
9;1704078000;8;-25.5;-56.4;29.0;94.0;16.0;67.0
10;1704078000;9;-25.45;-54.83;33.0;85.0;7.0;36.0
11;1704164400;0;-27.22;-55.83;10.0;87.0;8.0;49.0
12;1704164400;1;-27.2;-55.78;8.0;69.0;21.0;92.0
13;1704164400;2;-26.87;-58.32;14.0;40.0;21.0;36.0
14;1704164400;3;-26.83;-55.32;11.0;88.0;24.0;77.0
15;1704164400;4;-26.67;-57.13;8.0;92.0;17.0;38.0
16;1704164400;5;-26.17;-56.35;13.0;38.0;28.0;53.0
17;1704164400;6;-25.75;-56.43;14.0;96.0;25.0;51.0
18;1704164400;7;-25.62;-57.13;9.0;87.0;10.0;91.0
19;1704164400;8;-25.5;-56.4;18.0;76.0;7.0;71.0
20;1704164400;9;-25.45;-54.83;9.0;66.0;8.0;36.0
21;1704250800;0;-27.22;-55.83;17.0;67.0;11.0;33.0
22;1704250800;1;-27.2;-55.78;12.0;42.0;7.0;74.0
23;1704250800;2;-26.87;-58.32;15.0;72.0;9.0;55.0
24;1704250800;3;-26.83;-55.32;9.0;46.0;30.0;76.0
25;1704250800;4;-26.67;-57.13;13.0;86.0;14.0;41.0
26;1704250800;5;-26.17;-56.35;17.0;95.0;27.0;98.0
27;1704250800;6;-25.75;-56.43;16.0;71.0;30.0;80.0
28;1704250800;7;-25.62;-57.13;9.0;30.0;22.0;97.0
29;1704250800;8;-25.5;-56.4;14.0;29.0;11.0;56.0
30;1704250800;9;-25.45;-54.83;16.0;56.0;14.0;77.0
31;1704337200;0;-27.22;-55.83;14.0;79.0;13.0;98.0
32;1704337200;1;-27.2;-55.78;17.0;71.0;30.0;59.0
33;1704337200;2;-26.87;-58.32;12.0;72.0;28.0;33.0
34;1704337200;3;-26.83;-55.32;9.0;79.0;12.0;75.0
35;1704337200;4;-26.67;-57.13;17.0;77.0;21.0;61.0
36;1704337200;5;-26.17;-56.35;18.0;79.0;11.0;76.0
37;1704337200;6;-25.75;-56.43;10.0;34.0;25.0;84.0
38;1704337200;7;-25.62;-57.13;10.0;69.0;17.0;51.0
39;1704337200;8;-25.5;-56.4;12.0;81.0;13.0;71.0
40;1704337200;9;-25.45;-54.83;16.0;91.0;7.0;55.0
41;1704423600;0;-27.22;-55.83;44.0;82.0;31.0;99.0
42;1704423600;1;-27.2;-55.78;42.0;33.0;20.0;42.0
43;1704423600;2;-26.87;-58.32;43.0;68.0;6.0;62.0
44;1704423600;3;-26.83;-55.32;37.0;79.0;26.0;84.0
45;1704423600;4;-26.67;-57.13;36.0;62.0;25.0;54.0
46;1704423600;5;-26.17;-56.35;43.0;87.0;12.0;66.0
47;1704423600;6;-25.75;-56.43;38.0;81.0;17.0;100.0
48;1704423600;7;-25.62;-57.13;42.0;57.0;16.0;92.0
49;1704423600;8;-25.5;-56.4;44.0;27.0;28.0;74.0
50;1704423600;9;-25.45;-54.83;36.0;83.0;11.0;99.0
51;1704510000;0;-27.22;-55.83;18.0;68.0;25.0;45.0
52;1704510000;1;-27.2;-55.78;26.0;57.0;29.0;58.0
53;1704510000;2;-26.87;-58.32;21.0;79.0;9.0;92.0
54;1704510000;3;-26.83;-55.32;18.0;70.0;10.0;78.0
55;1704510000;4;-26.67;-57.13;23.0;38.0;12.0;57.0
56;1704510000;5;-26.17;-56.35;18.0;50.0;29.0;50.0
57;1704510000;6;-25.75;-56.43;19.0;92.0;9.0;86.0
58;1704510000;7;-25.62;-57.13;23.0;54.0;18.0;62.0
59;1704510000;8;-25.5;-56.4;27.0;49.0;31.0;93.0
60;1704510000;9;-25.45;-54.83;22.0;43.0;26.0;77.0
61;1704596400;0;-27.22;-55.83;45.0;82.0;11.0;80.0
62;1704596400;1;-27.2;-55.78;43.0;37.0;31.0;85.0
63;1704596400;2;-26.87;-58.32;37.0;53.0;8.0;78.0
64;1704596400;3;-26.83;-55.32;39.0;92.0;26.0;86.0
65;1704596400;4;-26.67;-57.13;43.0;44.0;18.0;88.0
66;1704596400;5;-26.17;-56.35;41.0;90.0;14.0;91.0
67;1704596400;6;-25.75;-56.43;40.0;47.0;32.0;41.0
68;1704596400;7;-25.62;-57.13;44.0;55.0;24.0;94.0
69;1704596400;8;-25.5;-56.4;41.0;41.0;24.0;60.0
70;1704596400;9;-25.45;-54.83;39.0;36.0;28.0;71.0
71;1704682800;0;-27.22;-55.83;39.0;92.0;8.0;70.0
72;1704682800;1;-27.2;-55.78;40.0;62.0;22.0;35.0
73;1704682800;2;-26.87;-58.32;40.0;73.0;32.0;80.0
74;1704682800;3;-26.83;-55.32;35.0;71.0;13.0;69.0
75;1704682800;4;-26.67;-57.13;36.0;44.0;14.0;76.0
76;1704682800;5;-26.17;-56.35;45.0;83.0;17.0;74.0
77;1704682800;6;-25.75;-56.43;40.0;97.0;32.0;56.0
78;1704682800;7;-25.62;-57.13;40.0;93.0;17.0;32.0
79;1704682800;8;-25.5;-56.4;36.0;52.0;27.0;34.0
80;1704682800;9;-25.45;-54.83;35.0;85.0;6.0;68.0
81;1704769200;0;-27.22;-55.83;25.0;48.0;11.0;96.0
82;1704769200;1;-27.2;-55.78;27.0;36.0;22.0;51.0
83;1704769200;2;-26.87;-58.32;26.0;65.0;23.0;99.0
84;1704769200;3;-26.83;-55.32;20.0;80.0;26.0;46.0
85;1704769200;4;-26.67;-57.13;17.0;66.0;22.0;35.0
86;1704769200;5;-26.17;-56.35;24.0;66.0;27.0;57.0
87;1704769200;6;-25.75;-56.43;26.0;47.0;13.0;91.0
88;1704769200;7;-25.62;-57.13;21.0;62.0;10.0;44.0
89;1704769200;8;-25.5;-56.4;22.0;51.0;30.0;98.0
90;1704769200;9;-25.45;-54.83;24.0;57.0;28.0;69.0
91;1704855600;0;-27.22;-55.83;30.0;29.0;31.0;76.0
92;1704855600;1;-27.2;-55.78;34.0;71.0;10.0;49.0
93;1704855600;2;-26.87;-58.32;34.0;86.0;10.0;96.0
94;1704855600;3;-26.83;-55.32;35.0;64.0;6.0;64.0
95;1704855600;4;-26.67;-57.13;27.0;72.0;25.0;85.0
96;1704855600;5;-26.17;-56.35;27.0;30.0;9.0;90.0
97;1704855600;6;-25.75;-56.43;37.0;42.0;28.0;61.0
98;1704855600;7;-25.62;-57.13;31.0;81.0;31.0;49.0
99;1704855600;8;-25.5;-56.4;33.0;32.0;22.0;46.0
100;1704855600;9;-25.45;-54.83;29.0;34.0;16.0;77.0
101;1704942000;0;-27.22;-55.83;20.0;94.0;30.0;44.0
